time,open,high,low,close
2005-04-01 07:00:00+07:00,106.6,106.6,106.6,106.6
2005-05-01 07:00:00+07:00,106.7,106.7,106.7,106.7
2005-06-01 07:00:00+07:00,106.9,106.9,106.9,106.9
2005-07-01 07:00:00+07:00,107.1,107.1,107.1,107.1
2005-08-01 07:00:00+07:00,107.5,107.5,107.5,107.5
2005-09-01 07:00:00+07:00,108.4,108.4,108.4,108.4
2005-10-01 07:00:00+07:00,107.9,107.9,107.9,107.9
2005-11-01 07:00:00+07:00,107.7,107.7,107.7,107.7
2005-12-01 07:00:00+07:00,107.6,107.6,107.6,107.6
2006-01-01 07:00:00+07:00,108.2,108.2,108.2,108.2
2006-02-01 07:00:00+07:00,108.0,108.0,108.0,108.0
2006-03-01 07:00:00+07:00,108.6,108.6,108.6,108.6
2006-04-01 07:00:00+07:00,109.2,109.2,109.2,109.2
2006-05-01 07:00:00+07:00,109.7,109.7,109.7,109.7
2006-06-01 07:00:00+07:00,109.5,109.5,109.5,109.5
2006-07-01 07:00:00+07:00,109.6,109.6,109.6,109.6
2006-08-01 07:00:00+07:00,109.8,109.8,109.8,109.8
2006-09-01 07:00:00+07:00,109.2,109.2,109.2,109.2
2006-10-01 07:00:00+07:00,109.0,109.0,109.0,109.0
2006-11-01 07:00:00+07:00,109.2,109.2,109.2,109.2
2006-12-01 07:00:00+07:00,109.4,109.4,109.4,109.4
2007-01-01 07:00:00+07:00,109.4,109.4,109.4,109.4
2007-02-01 07:00:00+07:00,110.2,110.2,110.2,110.2
2007-03-01 07:00:00+07:00,111.1,111.1,111.1,111.1
2007-04-01 07:00:00+07:00,111.6,111.6,111.6,111.6
2007-05-01 07:00:00+07:00,112.1,112.1,112.1,112.1
2007-06-01 07:00:00+07:00,111.9,111.9,111.9,111.9
2007-07-01 07:00:00+07:00,112.0,112.0,112.0,112.0
2007-08-01 07:00:00+07:00,111.7,111.7,111.7,111.7
2007-09-01 07:00:00+07:00,111.9,111.9,111.9,111.9
2007-10-01 07:00:00+07:00,111.6,111.6,111.6,111.6
2007-11-01 07:00:00+07:00,111.9,111.9,111.9,111.9
2007-12-01 07:00:00+07:00,112.0,112.0,112.0,112.0
2008-01-01 07:00:00+07:00,111.8,111.8,111.8,111.8
2008-02-01 07:00:00+07:00,112.2,112.2,112.2,112.2
2008-03-01 07:00:00+07:00,112.6,112.6,112.6,112.6
2008-04-01 07:00:00+07:00,113.5,113.5,113.5,113.5
2008-05-01 07:00:00+07:00,114.6,114.6,114.6,114.6
2008-06-01 07:00:00+07:00,115.4,115.4,115.4,115.4
2008-07-01 07:00:00+07:00,115.8,115.8,115.8,115.8
2008-08-01 07:00:00+07:00,115.6,115.6,115.6,115.6
2008-09-01 07:00:00+07:00,115.7,115.7,115.7,115.7
2008-10-01 07:00:00+07:00,114.5,114.5,114.5,114.5
2008-11-01 07:00:00+07:00,114.1,114.1,114.1,114.1
2008-12-01 07:00:00+07:00,113.3,113.3,113.3,113.3
2009-01-01 07:00:00+07:00,113.0,113.0,113.0,113.0
2009-02-01 07:00:00+07:00,113.8,113.8,113.8,113.8
2009-03-01 07:00:00+07:00,114.0,114.0,114.0,114.0
2009-04-01 07:00:00+07:00,113.9,113.9,113.9,113.9
2009-05-01 07:00:00+07:00,114.7,114.7,114.7,114.7
2009-06-01 07:00:00+07:00,115.1,115.1,115.1,115.1
2009-07-01 07:00:00+07:00,114.7,114.7,114.7,114.7
2009-08-01 07:00:00+07:00,114.7,114.7,114.7,114.7
2009-09-01 07:00:00+07:00,114.7,114.7,114.7,114.7
2009-10-01 07:00:00+07:00,114.6,114.6,114.6,114.6
2009-11-01 07:00:00+07:00,115.2,115.2,115.2,115.2
2009-12-01 07:00:00+07:00,114.8,114.8,114.8,114.8
2010-01-01 07:00:00+07:00,115.1,115.1,115.1,115.1
2010-02-01 07:00:00+07:00,115.6,115.6,115.6,115.6
2010-03-01 07:00:00+07:00,115.6,115.6,115.6,115.6
2010-04-01 07:00:00+07:00,116.0,116.0,116.0,116.0
2010-05-01 07:00:00+07:00,116.3,116.3,116.3,116.3
2010-06-01 07:00:00+07:00,116.2,116.2,116.2,116.2
2010-07-01 07:00:00+07:00,116.8,116.8,116.8,116.8
2010-08-01 07:00:00+07:00,116.7,116.7,116.7,116.7
2010-09-01 07:00:00+07:00,116.9,116.9,116.9,116.9
2010-10-01 07:00:00+07:00,117.4,117.4,117.4,117.4
2010-11-01 07:00:00+07:00,117.5,117.5,117.5,117.5
2010-12-01 07:00:00+07:00,117.5,117.5,117.5,117.5
2011-01-01 07:00:00+07:00,117.8,117.8,117.8,117.8
2011-02-01 07:00:00+07:00,118.1,118.1,118.1,118.1
2011-03-01 07:00:00+07:00,119.4,119.4,119.4,119.4
2011-04-01 07:00:00+07:00,119.8,119.8,119.8,119.8
2011-05-01 07:00:00+07:00,120.6,120.6,120.6,120.6
2011-06-01 07:00:00+07:00,119.8,119.8,119.8,119.8
2011-07-01 07:00:00+07:00,120.0,120.0,120.0,120.0
2011-08-01 07:00:00+07:00,120.3,120.3,120.3,120.3
2011-09-01 07:00:00+07:00,120.6,120.6,120.6,120.6
2011-10-01 07:00:00+07:00,120.8,120.8,120.8,120.8
2011-11-01 07:00:00+07:00,120.9,120.9,120.9,120.9
2011-12-01 07:00:00+07:00,120.2,120.2,120.2,120.2
2012-01-01 07:00:00+07:00,120.7,120.7,120.7,120.7
2012-02-01 07:00:00+07:00,121.2,121.2,121.2,121.2
2012-03-01 07:00:00+07:00,121.7,121.7,121.7,121.7
2012-04-01 07:00:00+07:00,122.2,122.2,122.2,122.2
2012-05-01 07:00:00+07:00,122.1,122.1,122.1,122.1
2012-06-01 07:00:00+07:00,121.6,121.6,121.6,121.6
2012-07-01 07:00:00+07:00,121.5,121.5,121.5,121.5
2012-08-01 07:00:00+07:00,121.8,121.8,121.8,121.8
2012-09-01 07:00:00+07:00,122.0,122.0,122.0,122.0
2012-10-01 07:00:00+07:00,122.2,122.2,122.2,122.2
2012-11-01 07:00:00+07:00,121.9,121.9,121.9,121.9
2012-12-01 07:00:00+07:00,121.2,121.2,121.2,121.2
2013-01-01 07:00:00+07:00,121.3,121.3,121.3,121.3
2013-02-01 07:00:00+07:00,122.7,122.7,122.7,122.7
2013-03-01 07:00:00+07:00,122.9,122.9,122.9,122.9
2013-04-01 07:00:00+07:00,122.7,122.7,122.7,122.7
2013-05-01 07:00:00+07:00,123.0,123.0,123.0,123.0
2013-06-01 07:00:00+07:00,123.0,123.0,123.0,123.0
2013-07-01 07:00:00+07:00,123.1,123.1,123.1,123.1
2013-08-01 07:00:00+07:00,123.1,123.1,123.1,123.1
2013-09-01 07:00:00+07:00,123.3,123.3,123.3,123.3
2013-10-01 07:00:00+07:00,123.0,123.0,123.0,123.0
2013-11-01 07:00:00+07:00,123.0,123.0,123.0,123.0
2013-12-01 07:00:00+07:00,122.7,122.7,122.7,122.7
2014-01-01 07:00:00+07:00,123.1,123.1,123.1,123.1
2014-02-01 07:00:00+07:00,124.1,124.1,124.1,124.1
2014-03-01 07:00:00+07:00,124.8,124.8,124.8,124.8
2014-04-01 07:00:00+07:00,125.2,125.2,125.2,125.2
2014-05-01 07:00:00+07:00,125.8,125.8,125.8,125.8
2014-06-01 07:00:00+07:00,125.9,125.9,125.9,125.9
2014-07-01 07:00:00+07:00,125.7,125.7,125.7,125.7
2014-08-01 07:00:00+07:00,125.7,125.7,125.7,125.7
2014-09-01 07:00:00+07:00,125.8,125.8,125.8,125.8
2014-10-01 07:00:00+07:00,125.9,125.9,125.9,125.9
2014-11-01 07:00:00+07:00,125.4,125.4,125.4,125.4
2014-12-01 07:00:00+07:00,124.5,124.5,124.5,124.5
2015-01-01 07:00:00+07:00,124.3,124.3,124.3,124.3
2015-02-01 07:00:00+07:00,125.4,125.4,125.4,125.4
2015-03-01 07:00:00+07:00,126.3,126.3,126.3,126.3
2015-04-01 07:00:00+07:00,126.2,126.2,126.2,126.2
2015-05-01 07:00:00+07:00,126.9,126.9,126.9,126.9
2015-06-01 07:00:00+07:00,127.2,127.2,127.2,127.2
2015-07-01 07:00:00+07:00,127.3,127.3,127.3,127.3
2015-08-01 07:00:00+07:00,127.3,127.3,127.3,127.3
2015-09-01 07:00:00+07:00,127.1,127.1,127.1,127.1
2015-10-01 07:00:00+07:00,127.2,127.2,127.2,127.2
2015-11-01 07:00:00+07:00,127.1,127.1,127.1,127.1
2015-12-01 07:00:00+07:00,126.5,126.5,126.5,126.5
2016-01-01 07:00:00+07:00,126.8,126.8,126.8,126.8
2016-02-01 07:00:00+07:00,127.1,127.1,127.1,127.1
2016-03-01 07:00:00+07:00,127.9,127.9,127.9,127.9
2016-04-01 07:00:00+07:00,128.3,128.3,128.3,128.3
2016-05-01 07:00:00+07:00,128.8,128.8,128.8,128.8
2016-06-01 07:00:00+07:00,129.1,129.1,129.1,129.1
2016-07-01 07:00:00+07:00,128.9,128.9,128.9,128.9
2016-08-01 07:00:00+07:00,128.7,128.7,128.7,128.7
2016-09-01 07:00:00+07:00,128.8,128.8,128.8,128.8
2016-10-01 07:00:00+07:00,129.1,129.1,129.1,129.1
2016-11-01 07:00:00+07:00,128.6,128.6,128.6,128.6
2016-12-01 07:00:00+07:00,128.4,128.4,128.4,128.4
2017-01-01 07:00:00+07:00,129.5,129.5,129.5,129.5
2017-02-01 07:00:00+07:00,129.7,129.7,129.7,129.7
2017-03-01 07:00:00+07:00,129.9,129.9,129.9,129.9
2017-04-01 07:00:00+07:00,130.4,130.4,130.4,130.4
2017-05-01 07:00:00+07:00,130.5,130.5,130.5,130.5
2017-06-01 07:00:00+07:00,130.4,130.4,130.4,130.4
2017-07-01 07:00:00+07:00,130.4,130.4,130.4,130.4
2017-08-01 07:00:00+07:00,130.5,130.5,130.5,130.5
2017-09-01 07:00:00+07:00,130.8,130.8,130.8,130.8
2017-10-01 07:00:00+07:00,130.9,130.9,130.9,130.9
2017-11-01 07:00:00+07:00,131.3,131.3,131.3,131.3
2017-12-01 07:00:00+07:00,130.8,130.8,130.8,130.8
2018-01-01 07:00:00+07:00,131.7,131.7,131.7,131.7
2018-02-01 07:00:00+07:00,132.5,132.5,132.5,132.5
2018-03-01 07:00:00+07:00,132.9,132.9,132.9,132.9
2018-04-01 07:00:00+07:00,133.3,133.3,133.3,133.3
2018-05-01 07:00:00+07:00,133.4,133.4,133.4,133.4
2018-06-01 07:00:00+07:00,133.6,133.6,133.6,133.6
2018-07-01 07:00:00+07:00,134.3,134.3,134.3,134.3
2018-08-01 07:00:00+07:00,134.2,134.2,134.2,134.2
2018-09-01 07:00:00+07:00,133.7,133.7,133.7,133.7
2018-10-01 07:00:00+07:00,134.1,134.1,134.1,134.1
2018-11-01 07:00:00+07:00,133.5,133.5,133.5,133.5
2018-12-01 07:00:00+07:00,133.4,133.4,133.4,133.4
2019-01-01 07:00:00+07:00,133.6,133.6,133.6,133.6
2019-02-01 07:00:00+07:00,134.5,134.5,134.5,134.5
2019-03-01 07:00:00+07:00,135.4,135.4,135.4,135.4
2019-04-01 07:00:00+07:00,136.0,136.0,136.0,136.0
2019-05-01 07:00:00+07:00,136.6,136.6,136.6,136.6
2019-06-01 07:00:00+07:00,136.3,136.3,136.3,136.3
2019-07-01 07:00:00+07:00,137.0,137.0,137.0,137.0
2019-08-01 07:00:00+07:00,136.8,136.8,136.8,136.8
2019-09-01 07:00:00+07:00,136.2,136.2,136.2,136.2
2019-10-01 07:00:00+07:00,136.6,136.6,136.6,136.6
2019-11-01 07:00:00+07:00,136.4,136.4,136.4,136.4
2019-12-01 07:00:00+07:00,136.4,136.4,136.4,136.4
2020-01-01 07:00:00+07:00,136.8,136.8,136.8,136.8
2020-02-01 07:00:00+07:00,137.4,137.4,137.4,137.4
2020-03-01 07:00:00+07:00,136.6,136.6,136.6,136.6
2020-04-01 07:00:00+07:00,135.7,135.7,135.7,135.7
2020-05-01 07:00:00+07:00,136.1,136.1,136.1,136.1
2020-06-01 07:00:00+07:00,137.2,137.2,137.2,137.2
2020-07-01 07:00:00+07:00,137.2,137.2,137.2,137.2
2020-08-01 07:00:00+07:00,137.0,137.0,137.0,137.0
2020-09-01 07:00:00+07:00,136.9,136.9,136.9,136.9
2020-10-01 07:00:00+07:00,137.5,137.5,137.5,137.5
2020-11-01 07:00:00+07:00,137.7,137.7,137.7,137.7
2020-12-01 07:00:00+07:00,137.4,137.4,137.4,137.4
2021-01-01 07:00:00+07:00,138.2,138.2,138.2,138.2
2021-02-01 07:00:00+07:00,138.9,138.9,138.9,138.9
2021-03-01 07:00:00+07:00,139.6,139.6,139.6,139.6
2021-04-01 07:00:00+07:00,140.3,140.3,140.3,140.3
2021-05-01 07:00:00+07:00,141.0,141.0,141.0,141.0
2021-06-01 07:00:00+07:00,141.4,141.4,141.4,141.4
2021-07-01 07:00:00+07:00,142.3,142.3,142.3,142.3
2021-08-01 07:00:00+07:00,142.6,142.6,142.6,142.6
2021-09-01 07:00:00+07:00,142.9,142.9,142.9,142.9
2021-10-01 07:00:00+07:00,143.9,143.9,143.9,143.9
2021-11-01 07:00:00+07:00,144.2,144.2,144.2,144.2
2021-12-01 07:00:00+07:00,144.0,144.0,144.0,144.0
2022-01-01 07:00:00+07:00,145.3,145.3,145.3,145.3
2022-02-01 07:00:00+07:00,146.8,146.8,146.8,146.8
2022-03-01 07:00:00+07:00,148.9,148.9,148.9,148.9
2022-04-01 07:00:00+07:00,149.8,149.8,149.8,149.8
2022-05-01 07:00:00+07:00,151.9,151.9,151.9,151.9
2022-06-01 07:00:00+07:00,152.9,152.9,152.9,152.9
2022-07-01 07:00:00+07:00,153.1,153.1,153.1,153.1
2022-08-01 07:00:00+07:00,152.6,152.6,152.6,152.6
2022-09-01 07:00:00+07:00,152.7,152.7,152.7,152.7
2022-10-01 07:00:00+07:00,153.8,153.8,153.8,153.8
2022-11-01 07:00:00+07:00,154.0,154.0,154.0,154.0
2022-12-01 07:00:00+07:00,153.1,153.1,153.1,153.1
2023-01-01 07:00:00+07:00,153.9,153.9,153.9,153.9
2023-02-01 07:00:00+07:00,154.5,154.5,154.5,154.5
2023-03-01 07:00:00+07:00,155.3,155.3,155.3,155.3
2023-04-01 07:00:00+07:00,156.4,156.4,156.4,156.4
2023-05-01 07:00:00+07:00,157.0,157.0,157.0,157.0
2023-06-01 07:00:00+07:00,157.2,157.2,157.2,157.2
2023-07-01 07:00:00+07:00,158.1,158.1,158.1,158.1
2023-08-01 07:00:00+07:00,158.7,158.7,158.7,158.7
2023-09-01 07:00:00+07:00,158.5,158.5,158.5,158.5
2023-10-01 07:00:00+07:00,158.6,158.6,158.6,158.6
2023-11-01 07:00:00+07:00,158.8,158.8,158.8,158.8
2023-12-01 07:00:00+07:00,158.3,158.3,158.3,158.3
2024-01-01 07:00:00+07:00,158.3,158.3,158.3,158.3
2024-02-01 07:00:00+07:00,158.8,158.8,158.8,158.8
2024-03-01 07:00:00+07:00,159.8,159.8,159.8,159.8
2024-04-01 07:00:00+07:00,160.6,160.6,160.6,160.6
2024-05-01 07:00:00+07:00,161.5,161.5,161.5,161.5
2024-06-01 07:00:00+07:00,161.4,161.4,161.4,161.4
2024-07-01 07:00:00+07:00,162.1,162.1,162.1,162.1
2024-08-01 07:00:00+07:00,161.8,161.8,161.8,161.8
2024-09-01 07:00:00+07:00,161.1,161.1,161.1,161.1
2024-10-01 07:00:00+07:00,161.8,161.8,161.8,161.8
2024-11-01 07:00:00+07:00,161.8,161.8,161.8,161.8
2024-12-01 07:00:00+07:00,161.2,161.2,161.2,161.2
2025-01-01 07:00:00+07:00,161.3,161.3,161.3,161.3
2025-02-01 07:00:00+07:00,163.0,163.0,163.0,163.0
2025-03-01 07:00:00+07:00,163.5,163.5,163.5,163.5
