time,open,high,low,close,volume,pe_ratio
2011-12-01 13:00:00+07:00,23.655001,23.84,22.040001,23.631001,5086.0,
2012-01-02 13:00:00+07:00,23.951,24.1,19.92,21.642,32569.0,
2012-02-01 13:00:00+07:00,21.441,23.466,21.441,22.4,8839.0,
2012-03-01 13:00:00+07:00,21.889,22.294001,20.969999,21.35,18468.0,
2012-04-02 12:00:00+07:00,21.771,22.274,19.441999,19.736,12958.0,
2012-05-02 12:00:00+07:00,19.844,21.864,19.844,21.864,5185.0,
2012-06-01 12:00:00+07:00,21.931999,22.287001,19.705999,19.705999,7534.0,
2012-07-02 12:00:00+07:00,20.521999,21.134001,19.889999,20.0,8033.0,
2012-08-01 12:00:00+07:00,20.24,22.215,19.448999,21.983999,26190.0,
2012-09-03 12:00:00+07:00,22.34,22.688,21.195,21.556999,17175.0,
2012-10-01 12:00:00+07:00,21.357,22.43,20.611,21.487,6439.0,
2012-11-01 13:00:00+07:00,21.209999,21.209999,20.041,20.794001,12304.0,
2012-12-03 13:00:00+07:00,20.927,21.767,20.65,21.253,2059.0,
2013-01-02 13:00:00+07:00,21.445999,24.372,21.0,24.101,13509.0,
2013-02-01 13:00:00+07:00,24.365999,26.4,24.165001,26.341999,25844.0,
2013-03-01 13:00:00+07:00,26.461,27.378,26.325001,26.325001,5960.0,
2013-04-02 12:00:00+07:00,26.347,27.83,26.347,26.729,8024.0,
2013-05-02 12:00:00+07:00,26.306,27.816,26.200001,26.641001,11086.0,
2013-06-03 12:00:00+07:00,26.374001,26.375,24.1,25.0,17568.0,
2013-07-01 12:00:00+07:00,24.987,26.802999,24.476,25.948999,3059.0,
2013-08-01 12:00:00+07:00,25.921,28.999001,25.921,27.493,7784.0,
2013-09-02 12:00:00+07:00,27.825001,28.370001,27.250999,28.243,5900.0,
2013-10-01 12:00:00+07:00,28.283001,29.399,26.799999,28.629,9322.0,
2013-11-01 13:00:00+07:00,29.110001,29.468,27.200001,28.521999,6038.0,
2013-12-02 13:00:00+07:00,28.319,31.294001,27.382999,30.879,3438.0,
2014-01-02 13:00:00+07:00,30.972,34.683998,30.284,31.231001,7264.0,
2014-02-03 13:00:00+07:00,32.161999,34.0,31.256001,33.490002,10584.0,
2014-03-03 13:00:00+07:00,32.626999,33.528,30.444,31.768,10931.0,
2014-04-01 12:00:00+07:00,31.969999,35.400002,30.6,34.217999,17343.0,
2014-05-02 12:00:00+07:00,34.847,37.009998,34.287998,35.924999,19261.0,
2014-06-02 12:00:00+07:00,36.248001,37.900002,35.647999,36.278,10268.0,
2014-07-01 12:00:00+07:00,36.423,37.973,36.381001,36.799999,10768.0,
2014-08-01 12:00:00+07:00,36.77,37.618999,33.599998,35.018002,14014.0,
2014-09-01 12:00:00+07:00,35.549999,35.751999,33.935001,34.611,13913.0,
2014-10-01 12:00:00+07:00,34.390999,37.0,29.877001,36.747002,27623.0,
2014-11-03 13:00:00+07:00,36.830002,37.533001,35.5,35.5,7983.0,
2014-12-01 13:00:00+07:00,34.769001,36.400002,33.389999,35.105,20802.0,
2015-01-02 13:00:00+07:00,35.07,41.705,33.799999,40.044,10008.0,
2015-02-02 13:00:00+07:00,40.69,43.796,40.458,43.032,0.0,
2015-03-02 13:00:00+07:00,43.226,43.941,42.111,43.088,78.0,
2015-04-01 12:00:00+07:00,42.448,45.778,41.452,41.452,361.0,
2015-05-04 12:00:00+07:00,41.452,44.685,40.986,44.525,1598.0,
2015-06-01 12:00:00+07:00,44.098,44.098,41.654,42.858,250.0,
2015-07-01 12:00:00+07:00,42.929,48.159,42.929,46.989,45.0,
2015-08-03 12:00:00+07:00,47.443,48.523,36.644,38.963,988.0,
2015-09-01 12:00:00+07:00,38.435,39.916,37.565,38.232,50.0,
2015-10-01 12:00:00+07:00,39.178,42.964,36.338,42.964,234.0,
2015-11-02 13:00:00+07:00,42.071,44.856,42.071,44.856,90.0,
2015-12-01 13:00:00+07:00,45.459,45.581,42.847,44.455,0.0,
2016-01-04 13:00:00+07:00,43.823,44.402,34.942,38.456,286.0,
2016-02-01 13:00:00+07:00,38.361,40.045,36.465,39.123,95.0,
2016-03-01 13:00:00+07:00,39.263,40.78,38.233,40.039,920.0,
2016-04-01 12:00:00+07:00,39.184,42.241,38.34,41.789,254.0,
2016-05-02 12:00:00+07:00,41.988,43.401,41.988,42.866,745.0,
2016-06-01 12:00:00+07:00,42.797,42.797,38.463,42.34,584.0,
2016-07-01 12:00:00+07:00,43.134,44.692,42.887,44.372,17.0,
2016-08-01 12:00:00+07:00,44.274,44.274,37.844,38.671,710.0,
2016-09-01 12:00:00+07:00,38.809,39.409,38.337,38.337,117.0,
2016-10-04 12:00:00+07:00,38.919,39.449,32.956,32.966,1210.0,
2016-11-01 13:00:00+07:00,33.895,33.895,31.958,32.143,360.0,
2016-12-01 13:00:00+07:00,32.027,32.745,30.085,32.642,435.0,
2017-01-02 13:00:00+07:00,32.642,35.433,32.58,35.433,330.0,
2017-02-01 13:00:00+07:00,36.176,37.961,35.76,36.02,408.0,
2017-03-01 13:00:00+07:00,36.271,36.772,35.811,36.772,630.0,
2017-04-03 12:00:00+07:00,37.108,40.433,36.594,40.131,140.0,
2017-05-02 12:00:00+07:00,39.267,39.982,38.768,39.76,260.0,
2017-06-01 12:00:00+07:00,40.259,41.145,37.937,38.304,134.0,
2017-07-03 12:00:00+07:00,38.39,39.685,37.421,39.263,0.0,
2017-08-01 12:00:00+07:00,39.179,42.711,38.026,42.711,72.0,
2017-09-01 12:00:00+07:00,42.711,43.763,42.249,43.634,10.0,
2017-10-02 12:00:00+07:00,43.634,46.835,43.634,46.835,600.0,
2017-11-01 13:00:00+07:00,47.558,47.808,44.85,44.85,230.0,
2017-12-01 13:00:00+07:00,45.43,47.854,45.221,47.684,15.0,
2018-01-02 13:00:00+07:00,47.684,48.19,44.33,44.33,258.0,
2018-02-01 13:00:00+07:00,44.72,44.95,39.6,42.49,418.0,
2018-03-01 13:00:00+07:00,42.43,99.654,41.18,41.8,0.0,
2018-04-03 12:00:00+07:00,42.13,42.14,39.56,39.56,0.0,
2018-05-02 12:00:00+07:00,39.47,44.22,39.47,43.9,0.0,
2018-06-01 12:00:00+07:00,43.83,44.58,42.72,43.46,0.0,
2018-07-02 12:00:00+07:00,43.11,45.79,42.4,44.97,0.0,
2018-08-01 12:00:00+07:00,44.97,47.77,44.89,47.34,300.0,
2018-09-03 12:00:00+07:00,47.25,47.25,46.03,47.11,0.0,
2018-10-01 12:00:00+07:00,47.34,48.19,39.4,43.5,300.0,
2018-11-01 13:00:00+07:00,43.5,45.28,40.9,41.26,600.0,
2018-12-03 13:00:00+07:00,42.01,42.01,38.77,38.95,0.0,
2019-01-02 13:00:00+07:00,38.95,41.12,35.68,36.54,0.0,
2019-02-01 13:00:00+07:00,36.75,41.02,36.75,40.05,345.0,
2019-03-01 13:00:00+07:00,40.05,42.79,39.27,41.18,0.0,
2019-04-01 12:00:00+07:00,41.18,42.39,39.94,41.08,0.0,
2019-05-02 12:00:00+07:00,42.1,43.88,41.39,42.17,100.0,
2019-06-03 12:00:00+07:00,41.98,43.72,40.42,41.04,50.0,
2019-07-01 12:00:00+07:00,41.33,42.78,40.89,41.76,240.0,
2019-08-01 12:00:00+07:00,41.78,42.01,36.13,38.89,25.0,
2019-09-02 12:00:00+07:00,38.89,40.46,37.98,38.37,75.0,
2019-10-01 12:00:00+07:00,38.56,42.41,37.0,42.25,0.0,
2019-11-01 13:00:00+07:00,42.25,43.95,41.8,43.49,133.0,
2019-12-02 13:00:00+07:00,43.49,44.6,42.6,43.92,0.0,
2020-01-02 13:00:00+07:00,43.75,47.44,42.28,47.28,0.0,
2020-02-03 13:00:00+07:00,47.21,51.42,45.13,46.12,354.0,
2020-03-02 13:00:00+07:00,46.29,49.2,34.46,41.64,455.0,
2020-04-01 12:00:00+07:00,40.41,45.4,39.97,44.88,137.0,
2020-05-04 12:00:00+07:00,45.41,49.09,44.71,49.09,237.0,31.914554031326972
2020-06-02 12:00:00+07:00,49.63,51.82,48.27,51.28,51.0,35.90639382382018
2020-07-01 12:00:00+07:00,51.46,53.82,50.38,50.86,286.0,35.61230869499794
2020-08-03 12:00:00+07:00,50.86,51.42,48.21,49.49,200.0,34.653031012887304
2020-09-01 12:00:00+07:00,49.54,55.98,49.54,53.9,553.0,36.681509203053785
2020-10-01 12:00:00+07:00,53.94,55.62,51.3,51.74,691.0,35.211526645009336
2020-11-02 13:00:00+07:00,51.74,53.76,47.22,48.14,845.0,32.76155571493524
2020-12-01 13:00:00+07:00,48.14,48.41,45.01,47.25,1174.0,35.11875158717247
2021-01-04 13:00:00+07:00,47.07,51.4,45.95,49.83,1134.0,37.03634691193236
2021-02-01 13:00:00+07:00,49.7,54.84,49.11,51.4,829.0,38.20325569482888
2021-03-01 13:00:00+07:00,51.4,54.82,50.52,54.8,891.0,39.609362635626645
2021-04-01 12:00:00+07:00,54.42,60.92,52.78,59.4,761.0,42.934236141536914
2021-05-03 12:00:00+07:00,59.22,62.18,58.92,59.84,484.0,43.25226752036312
2021-06-01 12:00:00+07:00,59.78,63.88,59.62,63.58,469.0,43.636462666638366
2021-07-01 12:00:00+07:00,63.84,66.82,62.56,66.04,421.0,45.32481903908144
2021-08-02 12:00:00+07:00,66.26,68.9,65.72,68.6,720.0,47.08180778438805
2021-09-01 12:00:00+07:00,68.64,68.64,58.78,58.78,1517.0,38.62339694997119
2021-10-01 12:00:00+07:00,58.78,65.66,57.38,63.9,1009.0,41.98766698031914
2021-11-01 13:00:00+07:00,63.9,70.32,63.5,66.82,1024.0,43.90635223200195
2021-12-01 13:00:00+07:00,67.04,72.6,65.02,72.6,1640.0,48.10284435829102
2022-01-03 13:00:00+07:00,72.52,72.52,60.48,60.82,1299.0,40.29772718830937
2022-02-01 13:00:00+07:00,60.96,62.14,51.6,58.66,1752.0,38.86656818260815
2022-03-01 13:00:00+07:00,58.62,62.06,52.18,61.4,1749.0,41.33195162548771
2022-04-01 12:00:00+07:00,62.22,67.0,60.7,66.24,1019.0,44.59004032039586
2022-05-02 12:00:00+07:00,65.92,66.7,56.18,59.38,1722.0,39.97217080653844
2022-06-01 12:00:00+07:00,59.38,60.32,52.84,57.28,1000.0,38.431269914080346
2022-07-01 12:00:00+07:00,56.86,62.58,56.1,62.58,644.0,41.98723588029239
2022-08-01 12:00:00+07:00,62.38,63.2,56.96,57.38,2008.0,38.498363611556044
2022-09-01 12:00:00+07:00,56.94,57.8,48.9,51.44,1144.0,31.329301342389304
2022-10-03 12:00:00+07:00,51.28,54.12,47.6,53.06,1002.0,32.315955078288816
2022-11-01 13:00:00+07:00,53.2,56.94,50.16,55.24,2101.0,33.64367430314124
2022-12-01 13:00:00+07:00,55.44,58.1,46.28,47.39,4709.0,26.80364143786407
2023-01-02 13:00:00+07:00,47.2,48.7,46.0,47.78,4609.0,27.024224264636953
2023-02-01 13:00:00+07:00,47.82,49.22,45.31,45.7,3310.0,25.847782521848238
2023-03-01 13:00:00+07:00,45.7,47.74,44.1,47.14,3282.0,27.000493884511283
2023-04-03 12:00:00+07:00,47.11,49.61,45.21,47.18,6471.0,27.023404783013202
2023-05-02 12:00:00+07:00,47.37,49.32,45.03,45.39,1437.0,25.998142075052336
2023-06-01 12:00:00+07:00,45.39,47.15,42.11,42.7,3081.0,25.881768987997678
2023-07-03 12:00:00+07:00,42.7,46.04,42.41,45.61,3017.0,27.64560851387761
2023-08-01 12:00:00+07:00,45.7,45.89,39.69,39.85,2200.0,24.154297287393618
2023-09-01 12:00:00+07:00,39.91,41.9,37.62,38.51,2130.0,24.926949345047156
2023-10-02 12:00:00+07:00,38.43,42.92,36.89,42.75,4224.0,27.671438184906933
2023-11-01 13:00:00+07:00,42.66,49.25,41.82,47.89,3992.0,30.99848361813317
2023-12-01 13:00:00+07:00,47.85,50.16,47.2,49.83,2338.0,34.11839745332558
2024-01-02 13:00:00+07:00,49.75,49.8,46.14,47.48,3468.0,32.509362052657
2024-02-01 13:00:00+07:00,47.48,52.48,46.66,52.1,4483.0,35.67265718077991
2024-03-01 13:00:00+07:00,52.24,58.68,51.8,55.1,8211.0,37.72674492631426
2024-04-02 12:00:00+07:00,54.9,54.9,50.42,51.84,3447.0,35.4946362428336
2024-05-02 12:00:00+07:00,51.4,58.84,51.4,54.8,2547.0,37.52133615176082
2024-06-03 12:00:00+07:00,55.26,59.74,53.94,57.02,2435.0,39.041361083456245
2024-07-01 12:00:00+07:00,57.76,59.14,55.26,59.04,1738.0,40.42444683211604
2024-08-01 12:00:00+07:00,59.0,63.02,55.46,62.64,2411.0,42.88935212675726
2024-09-02 12:00:00+07:00,62.64,64.92,60.3,64.82,1541.0,44.38198922184555
2024-10-01 12:00:00+07:00,64.56,64.88,57.04,57.64,2594.0,39.46587255086668
2024-11-01 13:00:00+07:00,57.56,58.08,51.86,55.38,2998.0,37.918459782564135
2024-12-02 13:00:00+07:00,55.08,56.4,53.66,54.92,999.0,83.57512978835695
2025-01-02 13:00:00+07:00,54.56,55.7,52.5,54.98,1355.0,83.66643546547459
2025-02-03 13:00:00+07:00,53.76,58.06,53.0,58.06,2380.0,88.35346022418071
2025-03-03 13:00:00+07:00,58.52,59.26,52.66,53.9,1929.0,82.02293327735687
2025-04-01 12:00:00+07:00,54.02,56.3,49.73,56.06,2936.0,85.30993765359233
